country,population_2024,gdp_per_capita_2024,ecommerce_penetration_2025
Germany,84.9,50830.0,77.9
France,66.3,42590.0,72.9
Italy,59.0,37180.0,50.9
Spain,48.8,32590.0,74.5
Poland,37.6,22560.0,43.0
Netherlands,18.0,63030.0,84.7
Romania,19.1,18560.0,43.8
Belgium,11.8,51810.0,86.4
Sweden,10.6,52600.0,87.3
Czechia,11.0,29280.0,71.1
Austria,9.2,52760.0,72.3
Portugal,10.7,26700.0,53.9
Greece,9.9,22560.0,55.0
Hungary,9.6,21570.0,42.9
Denmark,6.0,66420.0,84.9
Ireland,5.5,99060.0,74.9
Bulgaria,6.4,16110.0,42.8
Finland,5.6,49100.0,85.7
Slovakia,5.4,24000.0,60.6
Croatia,3.9,21740.0,52.5
Lithuania,2.9,27150.0,56.7
Slovenia,2.1,31490.0,56.4
Latvia,1.9,21610.0,66.2
Cyprus,1.3,34490.0,42.6
Estonia,1.4,28740.0,69.7
Luxembourg,0.7,126910.0,86.0
Malta,0.6,39330.0,49.5
